import time: self [us] | cumulative | imported package
import time:        15 |        580 |       polars.io.pyarrow_dataset.functions
import time:       818 |       4059 |     polars.io.delta
import time:       639 |        639 |           polars.io.iceberg._utils
import time:       926 |       1565 |         polars.io.iceberg.dataset
import time:       227 |       1791 |       polars.io.iceberg.functions
import time:       109 |       1899 |     polars.io.iceberg
import time:      1065 |       1065 |       polars.io.ipc.functions
import time:       125 |       1189 |     polars.io.ipc
import time:       246 |        246 |       polars.io.json.read
import time:       117 |        363 |     polars.io.json
import time:       604 |        604 |     polars.io.ndjson
import time:      1021 |       1021 |     polars.io.partition
import time:       389 |        389 |     polars.io.plugins
import time:      4104 |       4104 |       polars.io.spreadsheet.functions
import time:       118 |       4221 |     polars.io.spreadsheet
import time:       287 |      28602 |   polars.io
import time:      1203 |       1203 |     polars.sql.context
import time:       194 |        194 |     polars.sql.functions
import time:       137 |       1533 |   polars.sql
import time:       257 |        257 |   polars.string_cache
import time:      1768 |     186683 | polars
import time:       162 |        162 |         numpy._utils._convertions
import time:       279 |        440 |       numpy._utils
import time:       388 |        827 |     numpy._globals
import time:       210 |        210 |     numpy._expired_attrs_2_0
import time:       108 |        108 |     numpy.version
import time:        23 |         23 |       numpy._distributor_init_local
import time:       112 |        134 |     numpy._distributor_init
import time:       542 |        542 |               numpy._utils._inspect
import time:       521 |        521 |                 numpy.exceptions
import time:       985 |        985 |                 numpy._core._exceptions
import time:        27 |         27 |                     _contextvars
import time:       155 |        181 |                   contextvars
import time:       212 |        393 |                 numpy._core.printoptions
import time:       203 |        203 |                 numpy.dtypes
import time:      5650 |       7750 |               numpy._core._multiarray_umath
import time:       512 |       8803 |             numpy._core.overrides
import time:      1169 |       9971 |           numpy._core.multiarray
import time:       386 |        386 |           numpy._core.umath
import time:       286 |        286 |             numpy._core._string_helpers
import time:       729 |        729 |             numpy._core._type_aliases
import time:      1564 |       1564 |             numpy._core._dtype
import time:      1442 |       4020 |           numpy._core.numerictypes
import time:      1229 |       1229 |                     _compat_pickle
import time:        83 |         83 |                     _pickle
import time:        67 |         67 |                         org
import time:        16 |         83 |                       org.python
import time:        16 |         98 |                     org.python.core
import time:      9806 |      11214 |                   pickle
import time:      1804 |      13018 |                 numpy._core._methods
import time:      5915 |      18932 |               numpy._core.fromnumeric
import time:      2292 |      21224 |             numpy._core.shape_base
import time:       838 |        838 |             numpy._core._ufunc_config
import time:      6522 |       6522 |             numpy._core.arrayprint
import time:       441 |        441 |             numpy._core._asarray
import time:      5890 |      34911 |           numpy._core.numeric
import time:      3753 |       3753 |           numpy._core.records
import time:       988 |        988 |           numpy._core.memmap
import time:      1403 |       1403 |           numpy._core.function_base
import time:      1314 |       1314 |           numpy._core._machar
import time:      2590 |       2590 |           numpy._core.getlimits
import time:      3932 |       3932 |           numpy._core.einsumfunc
import time:      4536 |       4536 |           numpy._core._add_newdocs
